pressure	height	temperature	dewpoint	direction	speed	u_wind	v_wind	station	station_number	time	latitude	longitude	elevation
22.1	25908	-52.4	-69.3	105.0	2.0	-1.9318516525781366	0.5176380902050417	ILX	74560	2019-05-28	40.15	-89.33	178.0
21.5	26072	-51.9	-68.9	67.0	7.0	-6.4435339741670825	-2.735117899424916	ILX	74560	2019-05-28	40.15	-89.33	178.0
21.0	26213	-52.0	-68.7	35.0	11.0	-6.3093407998615065	-9.01067248717891	ILX	74560	2019-05-28	40.15	-89.33	178.0
20.0	26540	-52.3	-68.3	55.0	16.0	-13.106432708623869	-9.177222981616737	ILX	74560	2019-05-28	40.15	-89.33	178.0
19.3	26770	-52.7	-68.7	67.0	22.0	-20.251106775953687	-8.596084826764022	ILX	74560	2019-05-28	40.15	-89.33	178.0
19.1	26822	-52.6	-68.7	70.0	23.0	-21.61293027807589	-7.866463296490383	ILX	74560	2019-05-28	40.15	-89.33	178.0
17.4	27432	-51.8	-68.3	90.0	19.0	-19.0	-1.1634144591899855e-15	ILX	74560	2019-05-28	40.15	-89.33	178.0
15.8	28067	-50.9	-67.9	83.0	17.0	-16.873284577902474	-2.0717788378875075	ILX	74560	2019-05-28	40.15	-89.33	178.0
13.2	29234	-51.9	-66.9	70.0	14.0	-13.155696691002717	-4.788282006559363	ILX	74560	2019-05-28	40.15	-89.33	178.0
11.4	30175	-49.8	-65.5	60.0	11.0	-9.526279441628825	-5.500000000000001	ILX	74560	2019-05-28	40.15	-89.33	178.0
10.9	30482	-49.1	-65.1					ILX	74560	2019-05-28	40.15	-89.33	178.0
